Prompt_ID,LeetCode_Link,date_of_first_published_solution,Original_Java_Snippet,Java_link,Original_Python_Snippet,Python_link,Original_C++_Snippet,C++_link,
apply_ops_empty_str,https://leetcode.com/problems/apply-operations-to-make-string-empty/,02-17-2024,"class Solution {
    public String lastNonEmptyString(String s) {
        int arr[] = new int[26];
        int max = 0;
        
        for (int i = 0; i < s.length(); i++) {
            arr[s.charAt(i) - 'a'] ++;
        }
        
        for (int i = 0; i < 26; i++) {
            max = Math.max(max, arr[i]);
        }
        
        
        String ans = """";
        
        for (int i = s.length() - 1; i >= 0; i--) {
            if (arr[s.charAt(i) - 'a'] == max) {
                arr[s.charAt(i) - 'a'] --;
                ans = s.charAt(i) + ans;
            }
        }
        
        return ans;
    }
}",https://leetcode.com/problems/apply-operations-to-make-string-empty/solutions/4742265/java-sol/,"from collections import Counter,defaultdict

class Solution(object):
    def lastNonEmptyString(self, s):
        
        d = Counter(s)
        d_list = sorted(d.items(), key=lambda x: x[1], reverse=True)
        
        highest = d_list[0][1]
        d = defaultdict()
        ans = """"
        
        for key, val in d_list:
            if val == highest:
                d[key]=val
            else:
                break

        for i in s:
            if i in d:
                if d[i]==1:
                    ans += i
                d[i]-=1

        return ans
        ",https://leetcode.com/problems/apply-operations-to-make-string-empty/solutions/4742291/detailed-python-solution-count-freq-and-sort/,"class Solution {
public:
    string lastNonEmptyString(string s) {
        vector<int>freq(26,0);
        vector<int>last(26,-1);
        
        for(int i=0; i< s.length() ; i++){
            freq[s[i]-'a']++;
            last[s[i]-'a']=i;
        }
        int maxi = *max_element(freq.begin() , freq.end());
        maxi--;
        string ans;
        for(int i=0; i< 26 ; i++){
            if(freq[i]-maxi >0){
                ans +=string(freq[i] - maxi, 'a' + i);
            }
        }
        auto customComparator = [&last](char a, char b) {
            return last[a - 'a'] < last[b - 'a'];
        };

        // Sort the ans string using the custom comparator
        sort(ans.begin(), ans.end(), customComparator);
        return ans;
    }
};",https://leetcode.com/problems/apply-operations-to-make-string-empty/solutions/4742295/2-easy-approach-with-explanation-0-1-space-and-0-n-time-in-c/,
bob_alice_flower,https://leetcode.com/problems/alice-and-bob-playing-flower-game/,01-27-2024,"class Solution {
    public long flowerGame(int n, int m) {
        int oddCountN = (n + 1) / 2, oddCountM = (m + 1) / 2;
        int evenCountN = n / 2, evenCountM = m / 2;
        return oddCountN * 1L * evenCountM + oddCountM * 1L * evenCountN;
    }
}",https://leetcode.com/problems/alice-and-bob-playing-flower-game/solutions/4636701/math-with-explanation/,"class Solution:
    def flowerGame(self, n: int, m: int) -> int:
        return m * n // 2",https://leetcode.com/problems/alice-and-bob-playing-flower-game/solutions/4636705/python-simple-solution-o-1-time-o-1-space-one-line/,"class Solution {
public:
    long long flowerGame(int n, int m) {
        long long AOdd = n % 2 == 1 ? n / 2 + 1 : n / 2;
        long long AEven = n / 2;
        long long BOdd = m % 2 == 1 ? m / 2 + 1 : m / 2;
        long long BEven = m / 2;
        return AOdd * BEven + AEven * BOdd;
    }
};",https://leetcode.com/problems/alice-and-bob-playing-flower-game/solutions/4636703/c-o-1-math/,
can_sort,https://leetcode.com/problems/find-if-array-can-be-sorted/,01-20-2024,"class Solution {
    public boolean canSortArray(int[] a) {
        int[] a2 = new int[a.length];
        int n = a.length;
        for(int i=0; i<n; i++){
            a2[i] = a[i];
        }
        Arrays.sort(a2);
        if(Arrays.equals(a,a2)) return true;
        for(int i=0; i<n; i++){
            for(int j=0; j<n-i-1; j++){
                int x = Integer.bitCount(a[j]);
                int y = Integer.bitCount(a[j + 1]);
                if(x==y && a[j] > a[j+1]){
                    int t=a[j];
                    a[j]=a[j+1];
                    a[j+1] = t;
                }
            }
        }
        return Arrays.equals(a,a2);
    }
}",https://leetcode.com/problems/find-if-array-can-be-sorted/solutions/4598268/bubble-sort/,"class Solution:
    def canSortArray(self, nums: List[int]) -> bool:
        def can_swap(a, b):
            return a.bit_count() == b.bit_count()
        n = len(nums)
        for i in range(n*n):
            for j in range(n-1):
                if nums[j] > nums[j+1] and can_swap(nums[j], nums[j+1]):
                    nums[j], nums[j+1] = nums[j+1], nums[j]
        return nums == sorted(nums)",https://leetcode.com/problems/find-if-array-can-be-sorted/solutions/4598275/python-brute-bubble-sort/,"class Solution {
public:
    bool canSortArray(vector<int>& nums) {
        int n = nums.size();
        
        vector<int> c = nums;
        sort(begin(c),end(c));
        
        int prev=0 , i=0;
        int a = __builtin_popcount(nums[0]);
        while(i < n) {
            int b = __builtin_popcount(nums[i]);
            
            while(i<n && a==__builtin_popcount(nums[i])) {
                i++;
            }
            sort(nums.begin()+prev,nums.begin()+i);
            prev = i;
            if(i < n)   a = __builtin_popcount(nums[i]);
        }
        return c==nums;
    }
};",https://leetcode.com/problems/find-if-array-can-be-sorted/solutions/4598307/fully-explained-easy-solution/,
divide_arrays_with_max_diff,https://leetcode.com/problems/divide-array-into-arrays-with-max-difference/,12-16-2023,"class Solution {
  public int[][] divideArray(int[] nums, int k) {
    final int n = nums.length;
    Arrays.sort(nums);
    int[][] result = new int[n / 3][3];
    for (int i = 0; i < n; i++) {
      result[i / 3][i % 3] = nums[i];
      if (i % 3 == 2) {
        if (result[i / 3][2] - result[i / 3][0] > k) {
          return new int[][] {};
        }
      }
    }

    return result;
  }
}",https://leetcode.com/problems/divide-array-into-arrays-with-max-difference/solutions/4414713/sort-and-split/,"class Solution:
    def divideArray(self, nums: List[int], k: int) -> List[List[int]]:
        nums.sort()
        res = []
        for i in range(0, len(nums), 3):
            array = nums[i:i + 3]
            if array[-1] - array[0] > k:
                return None
            res.append(array)
        return res",https://leetcode.com/problems/divide-array-into-arrays-with-max-difference/solutions/4414714/python-solution/,"class Solution {
public:
    vector<vector<int>> divideArray(vector<int>& nums, int k) {
        sort(nums.begin(),nums.end());
        vector<vector<int>>ans;
        for(int i=0;i<nums.size();i+=3){
            if(nums[i+2]-nums[i]>k) return {};
            vector<int>tmp={nums[i],nums[i+1],nums[i+2]};
            ans.push_back(tmp);
        }
        return ans;
    }
};",https://leetcode.com/problems/divide-array-into-arrays-with-max-difference/solutions/4414718/sorting-brute-force/,
double_mod_exp,https://leetcode.com/problems/double-modular-exponentiation/,12-09-2023,"class Solution {
    //returns (a ^ b) % mod
    private int power (int a, int b, int mod) {
        if (b == 0)
                return 1;
        if (b % 2 == 0)
            return power((a * a) % mod, b / 2, mod);
        else
            return (a * power((a * a) % mod , b / 2, mod)) % mod;
    }
    
    public List<Integer> getGoodIndices(int[][] variables, int target) {
        List<Integer> result = new ArrayList<>();
        for (int i = 0; i < variables.length; i++) {
            int a = variables[i][0], b = variables[i][1], c = variables[i][2], m = variables[i][3];
            int calculated = power(power(a, b, 10), c, m);
            if (calculated == target)
                result.add(i);
        }
        return result;
    }
}",https://leetcode.com/problems/double-modular-exponentiation/solutions/4384359/custom-power-function-o-nlogn/,"class Solution:
    def getGoodIndices(self, variables: List[List[int]], target: int) -> List[int]:
        res = []
        for i, (a, b, c, m) in enumerate(variables):
            if pow((pow(a, b) % 10), c) % m == target:
                res.append(i)
        return res",https://leetcode.com/problems/double-modular-exponentiation/solutions/4384354/python-solution/,"int f(int n, int p) // function to calculate (ai power bi % 10)
{
    int i = 0;
    int res = 1;

    while (i < p)
    {
        res *= n;
        res %= 10;
        ++i;
    }

    return res;
}

int s(int n, int p, int m)  // function to calculate ((ai power bi % 10) power ci) % mi
{ 
    int i = 0;
    int res = 1;

    while (i < p)
    {
        res *= n;
        res %= m;
        ++i;
    }

    return res;
}

class Solution
{
public:
    vector<int> getGoodIndices(vector<vector<int>> &v, int target)
    {

        int first, sec;

        vector<int> res;
        vector<int> t;

        int a, b, c, m;

        for (int i = 0; i < v.size(); ++i)
        {
            t = v[i];
            a = t[0];
            b = t[1];
            c = t[2];
            m = t[3];

            first = f(a, b);

            sec = s(first, c, m);

            if (sec == target)
                res.push_back(i);
        }

        return res;
    }
};",https://leetcode.com/problems/double-modular-exponentiation/solutions/4384364/take-care-of-the-overflow/,
find_equalindromic,https://leetcode.com/problems/minimum-cost-to-make-array-equalindromic/,12-16-2023,"class Solution {
    public long minimumCost(int[] nums) {
        int n = nums.length;
        Arrays.sort(nums);
        int middle = nums[n/2];
        int inc = middle;
        int dec = middle;

        while(!isPal(inc)) inc++; 
        while(!isPal(dec)) dec--;

        return Math.min(calculateCost(nums,inc), calculateCost(nums,dec));
    }


    public boolean isPal(int n) {
        int r, sum = 0, temp;
        temp = n;
        while (n > 0) {
            r = n % 10; 
            sum = (sum * 10) + r;
            n = n / 10;
        }
        return temp == sum;
    }

    public long calculateCost(int[] nums, int r) {
        long cost = 0;
        for (int n: nums) cost += Math.abs(n - r);
        return cost;
    }
}",https://leetcode.com/problems/minimum-cost-to-make-array-equalindromic/solutions/4414716/find-median-easy-java-solution-beats-100/,"class Solution:
    def minimumCost(self, nums: List[int]) -> int:
        
        nums.sort()
        n=len(nums)

        def pal(n):            
            t=str(n)
            return t==t[::-1]
        
        def check(n):
            for a in range(n,0,-1):
                if pal(a):
                    res=sum(abs(it -a) for it in nums)
                    break
            for b in range(n,10**9):
                if pal(b):
                    res=min(res,sum(abs(it -b) for it in nums))
                    break
            return res


        return min(check(nums[n//2]),check(nums[n//2-1]))",https://leetcode.com/problems/minimum-cost-to-make-array-equalindromic/solutions/4414800/check-nearest-two-palindromics-to-the-median/,"long long minimumCost(vector<int>& nums) {
long long ans = LONG_MAX, median = 0, n = nums.size();
sort(nums.begin(), nums.end());
median = (n %2 )?nums[n/2]: (nums[n/2] + nums[n/2 - 1])/2;
//Find out possible palindroms
vector<long long> pal;
string t = to_string(median);
pal.push_back(pow(10, t.size()-1) - 1); //case 1 : next palindrom with one digit less
pal.push_back(pow(10, t.size()) + 1);   //case 2: next palindrom with one digit more
//case 3: palidrom with just mirror image of the left half
for(int i = 0; i < t.size()/2; ++i) t[t.size() - i - 1] = t[i];
pal.push_back(stoll(t));
//case 4: palidrom with mirror image of the left half with left half + 1
string pal_next = to_string(stoi(t.substr(0,(t.size()+1)/2)) + 1);
string temp = pal_next;
if(t.size()%2) pal_next = pal_next.substr(0, pal_next.size() - 1);
reverse(pal_next.begin(), pal_next.end());
pal.push_back(stoll(temp + pal_next));
//case 5: palidrom with mirror image of the left half with left half - 1
string pal_prev = to_string(stoi(t.substr(0,(t.size()+1)/2)) - 1);
temp = pal_prev;
if(t.size()%2)  pal_prev = pal_prev.substr(0, pal_prev.size() - 1);
reverse(pal_prev.begin(), pal_prev.end());
pal.push_back(stoll(temp + pal_prev));
//find the cost with each palindrom and take the min as answer
for(auto p: pal){
long long sum = 0;
for(auto num: nums) sum += abs(num - p);
ans = min(ans, sum);
}
return ans;
}",https://leetcode.com/problems/minimum-cost-to-make-array-equalindromic/solutions/4414729/find-nearest-palindrom-to-median-very-simple/,
find_grid,https://leetcode.com/problems/find-the-grid-of-region-average/,02-03-2024,"class Solution {
    int[][] dirs = {{1, 0}, {0, 1}, {0, -1}, {-1, 0}};
    
    public int[][] resultGrid(int[][] image, int threshold) {
        int r = image.length, c = image[0].length;
        int[][] res = new int[r][c];
        int[][] count = new int[r][c];

        for (int i = 1; i < r - 1; i++) {
            for (int j = 1; j < c - 1; j++) {
                int r0 = i - 1, c0 = j - 1;
                int r1 = i + 1, c1 = j + 1;

                // Find if we have valid 3X3 region.
                boolean foundRegion = helper(image, i, j, r0, c0, r1, c1, threshold);
                if (foundRegion) {
                    for (int[] dir : dirs) {
                        int x = dir[0] + i;
                        int y = dir[1] + j;
                        foundRegion &= helper(image, x, y, r0, c0, r1, c1, threshold);
                        if (!foundRegion) break;
                    }
                }

                if (foundRegion) {
                    int sum = 0;
                    for (int k = r0; k <= r1; k++) {
                        for (int l = c0; l <= c1; l++) {
                            sum += image[k][l];
                            count[k][l]++;
                        }
                    }

                    for (int k = r0; k <= r1; k++) {
                        for (int l = c0; l <= c1; l++) {
                            int avg = sum / 9;
                            res[k][l] = (count[k][l] == 1) ? avg : res[k][l] + avg;
                        }
                    }
                } else {
                    for (int k = r0; k <= r1; k++) {
                        for (int l = c0; l <= c1; l++) {
                            if (count[k][l] == 0) res[k][l] = image[k][l];
                        }
                    }
                }
            }
        }

        // Update overlapped averages
        for (int i = 0; i < r; i++) {
            for (int j = 0; j < c; j++) {
                if (count[i][j] > 1) {
                    res[i][j] = res[i][j] / count[i][j];
                }
            }
        }

        return res;
    }

    public boolean helper(int[][] image, int i, int j, int r0, int c0, int r1, int c1, int t) {
        for (int[] dir : dirs) {
            int x = dir[0] + i;
            int y = dir[1] + j;
            if (x < r0 || x > r1 || y < c0 || y > c1) continue;
            if (Math.abs(image[x][y] - image[i][j]) > t) return false;
        }
        return true;
    }
}",https://leetcode.com/problems/find-the-grid-of-region-average/solutions/4673957/java-beat-100-easy/,"class Solution:
    def resultGrid(self, im: List[List[int]], threshold: int) -> List[List[int]]:
        
        def isRegion(i, j):
            for k in range(i, i+3):
                for l in range(j, j+3):
                    
                    ist = True
                    
                    if k > i:
                        ist = ist and (abs(im[k][l]-im[k-1][l]) <= threshold)
                    if l > j:
                        ist = ist and (abs(im[k][l]-im[k][l-1]) <= threshold) 
                    if k+1 < i+2:
                        ist = ist and (abs(im[k][l]-im[k+1][l]) <= threshold) 
                    if l+1 < j+2:
                        ist = ist and (abs(im[k][l]-im[k][l+1]) <= threshold)
                    
                    if not ist:
                        return False
            return True
        
        counts = [[0 for _ in range(len(im[0]))] for _ in range(len(im))]
        result = [[0 for _ in range(len(im[0]))] for _ in range(len(im))]
        
        
        
        for i in range(len(im)-2):
            for j in range(len(im[0])-2):             
                if isRegion(i, j):
                    # print('isRegion', i, j)
                    curr = 0
                    
                    for k in range(i, i+3):
                        for l in range(j, j+3):
                            curr += im[k][l]
                    
                    for k in range(i, i+3):
                        for l in range(j, j+3):
                            result[k][l] += curr//9
                            counts[k][l] += 1
                # else:
                #     print('not region ',i, j)
        
        # print(counts, result)
        
        for i in range(len(im)):
            for j in range(len(im[0])):
                if counts[i][j] > 0:
                    result[i][j] = result[i][j]//counts[i][j]
                else:
                    result[i][j] = im[i][j]
        
        return result
                    ",https://leetcode.com/problems/find-the-grid-of-region-average/solutions/4673965/just-do-what-is-asked-brute-force/,"class Solution {
    vector<vector<int>> temp;
public:
    bool isreg(int r, int c, int k){
        for(int i=r;i<(r+3);i++){
            for(int j=c;j<(c+3);j++){
                if(j<(c+2) && abs(temp[i][j] - temp[i][j+1])>k)
                    return false;
                if(i<(r+2) && abs(temp[i][j] - temp[i+1][j]) > k)
                    return false;
            }
        }
        return true;
    }
    
    int calcavg(int r, int c){
        int avg=0;
        for(int i=r;i<r+3;i++){
            for(int j=c;j<c+3;j++)
                avg += temp[i][j];
        }
        return avg/9;
    }
    
    vector<vector<int>> resultGrid(vector<vector<int>>& image, int threshold) {
        temp = image;
        int m = image.size();
        int n = image[0].size();
        vector<vector<int>> res(m, vector<int>(n, -1));
        vector<vector<int>> div(m, vector<int>(n, 1));  // divisor matrix as the we need to be precise while calculating the average
        for(int i=0;i<=m-3;i++){
            for(int j=0;j<=n-3;j++){
                if(isreg(i,j, threshold)){  // calculate if it is a region
                    int avg = calcavg(i,j);     // calculate the average
                    for(int ti = i;ti<(i+3);ti++){
                        for(int tj=j;tj<(j+3);tj++)
                            if(res[ti][tj]!=-1){
                                res[ti][tj] = (res[ti][tj]+avg);
                                div[ti][tj]++;
                            }
                            else{
                                res[ti][tj] = avg;
                                div[ti][tj]=1;
                            }
                    }
                }
            }
        }
        
        for(int i=0;i<m;i++){
            for(int j=0;j<n;j++){
                if(res[i][j]==-1){
                    res[i][j]=image[i][j];
                }
                else{
                    res[i][j] = res[i][j]/div[i][j];
                }
            }
        }
        
        return res;
    }
};",https://leetcode.com/problems/find-the-grid-of-region-average/solutions/4673971/simple-logic-explained-c-commented-code/,
find_indices,https://leetcode.com/problems/find-beautiful-indices-in-the-given-array-i/,01-13-2024,"class Solution {
  public List<Integer> beautifulIndices(String s, String a, String b, int k) {
    // shift of pattern b
    TreeSet<Integer> shifts = new TreeSet<>(build(s, b));

    List<Integer> result = new ArrayList<>();
    for (int i : build(s, a)) {
      // check existence of j among [i - k, i + k + 1)
      if (!shifts.subSet(i - k, i + k + 1).isEmpty()) {
        result.add(i);
      }
    }

    return result;
  }

  private List<Integer> build(String text, String pattern) {
    List<Integer> shift = new ArrayList<>();

    final int m = text.length();
    final int n = pattern.length();
    for (int i = 0; i <= m - n; i++) {
      boolean match = true;
      for (int j = 0; j < n; j++) {
        if (pattern.charAt(j) != text.charAt(i + j)) {
          match = false;
          break;
        }
      }

      if (match) {
        shift.add(i);
      }
    }

    return shift;
  }
}",https://leetcode.com/problems/find-beautiful-indices-in-the-given-array-i/solutions/4561709/brute-force/,"from collections import deque

class KMP:
    def partial(pattern):
        """""" Calculate partial match table: String -> [Int]""""""
        ret = [0]
        
        for i in range(1, len(pattern)):
            j = ret[i - 1]
            while j > 0 and pattern[j] != pattern[i]:
                j = ret[j - 1]
            ret.append(j + 1 if pattern[j] == pattern[i] else j)
        return ret

    def search(T, P):
        """""" 
        KMP search main algorithm: String -> String -> [Int] 
        Return all the matching position of pattern string P in T
        """"""
        partial, ret, j = KMP.partial(P), deque([]), 0
        
        for i in range(len(T)):
            while j > 0 and T[i] != P[j]:
                j = partial[j - 1]
            if T[i] == P[j]: j += 1
            if j == len(P): 
                ret.append(i - (j - 1))
                j = partial[j - 1]
            
        return ret

class Solution:
    def beautifulIndices(self, s: str, a: str, b: str, k: int) -> List[int]:

        a, b = KMP.search(s, a), KMP.search(s, b)
        ans = []

        while a and b:
            while b and b[0] < a[0] - k:
                b.popleft()

            if b and abs(a[0] - b[0]) <= k:
                ans.append(a[0])

            a.popleft()

        return ans",https://leetcode.com/problems/find-beautiful-indices-in-the-given-array-i/solutions/4561715/kmp-sliding-window/,"class Solution {
public:
    vector<int> beautifulIndices(string s, string a, string b, int k) {
        vector<int> c, d;
        int j = 0, n = s.size();
        for(int i=0;i<n;i++) {
            if(s[i] == a[j] and j < a.size()) {
                j++;
            } else {
                if(j == a.size()) c.push_back(i-j);
                j = 0;
                if(s[i] == a[j]) j++;
            }
        }
        if(j == a.size()) c.push_back(n-j);
        j = 0;
        for(int i=0;i<n;i++) {
            if(s[i] == b[j] and j < b.size()) {
                j++;
            } else {
                if(j == b.size()) d.push_back(i-j);
                j = 0;
                if(s[i] == b[j]) j++;
            }
        }
        if(j == b.size()) d.push_back(n-j);
        
        vector<int> ans;
        for(int num1 : c) {
            for(int num2 : d) {
                if(abs(num1-num2) <= k) {
                    ans.push_back(num1);
                    break;
                }
            }
        }
        return ans;
    }
};",https://leetcode.com/problems/find-beautiful-indices-in-the-given-array-i/solutions/4561725/easy-c-solution/,
find_polygon,https://leetcode.com/problems/find-polygon-with-the-largest-perimeter/,12-23-2023,"class Solution {
public long largestPerimeter(int[] nums) {
final int n = nums.length;
Arrays.sort(nums);
long result = -1;
long prefix = nums[0] + nums[1];
for (int i = 2; i < n; i++) {
if (prefix > nums[i]) {
result = Math.max(result, prefix + nums[i]);
}
prefix += nums[i];
}
return result;
}
}",https://leetcode.com/problems/find-polygon-with-the-largest-perimeter/solutions/4447256/triangle-a-b-c/,"class Solution:
    def largestPerimeter(self, nums: List[int]) -> int:
        nums.sort()
        for i in range(0,len(nums),1):
            print(nums[len(nums)-1-i],sum(nums[:len(nums)-i-1]))
            if sum(nums[:len(nums)-i-1])>nums[len(nums)-1-i]:
                return sum(nums[:len(nums)-i-1])+nums[len(nums)-1-i]
        return -1
                ",https://leetcode.com/problems/find-polygon-with-the-largest-perimeter/solutions/4447260/python3-o-n-easy-solution/,"class Solution {
public:
    long long largestPerimeter(vector<int>& nums) {
        sort(nums.begin(),nums.end());
        long long sum=0,ans=-1;
        for(int i=0;i<nums.size();i++){
            if(nums[i]<sum) ans=sum+nums[i];
            sum+=nums[i];
        }
        return ans;
    }
};",https://leetcode.com/problems/find-polygon-with-the-largest-perimeter/solutions/4447257/2-approaches-greedy-prefix-sum/,
frequent_prime,https://leetcode.com/problems/most-frequent-prime/,2-17-2024,"class Solution {
    public int mostFrequentPrime(int[][] mat) {
        HashMap<String, Integer> hm = new HashMap<>();
        
        int m = mat.length, n = mat[0].length;
        
        for(int i=0; i<m; i++) {
            for(int j=0; j<n; j++) {
                traverse(mat, hm, i, j, -1, 0, m, n); // Top
                traverse(mat, hm, i, j, -1, 1, m, n); // Top-right
                traverse(mat, hm, i, j, 0, 1, m, n); // right
                traverse(mat, hm, i, j, 1, 1, m, n); // bottom-right
                traverse(mat, hm, i, j, 1, 0, m, n); // bottom
                traverse(mat, hm, i, j, 1, -1, m, n); // bottom-left
                traverse(mat, hm, i, j, 0, -1, m, n); // left
                traverse(mat, hm, i, j, -1, -1, m, n); // top-left
            }
        }
        
        int maxfreq = 0;
        for (int freq : hm.values()) {
            maxfreq = Math.max(maxfreq, freq);
        }
        
        int ans = -1;
        for (String k : hm.keySet()) {
            if (hm.get(k) == maxfreq) 
                ans = Math.max(ans, Integer.parseInt(k));
        }
        
        return ans;
    }
    
    private StringBuilder sb = new StringBuilder();
    public void traverse(int[][] mat, HashMap<String, Integer> hm, int curri, int currj, int upi, int upj, int m, int n) {
        if(curri<0 || currj<0 || curri>=m || currj>=n)
            return;
        
        sb.append(mat[curri][currj]);
        int val = Integer.parseInt(sb.toString());
        if(val > 10 && isPrime(val)) {
            hm.put(sb.toString(), hm.getOrDefault(sb.toString(), 0) + 1);
        }
            
        traverse(mat, hm, curri+upi, currj+upj, upi, upj, m, n);
        sb.deleteCharAt(sb.length()-1);
    }
    
    public boolean isPrime(int n) {
        for(int i=2; i<=Math.sqrt(n); i++) {
            if(n%i == 0) 
                return false;
        }
        
        return true;
    }
}",https://leetcode.com/problems/most-frequent-prime/solutions/4744439/simplest-approach-using-recursion/,"class Solution:
    def mostFrequentPrime(self, mat: list[list[int]]) -> int:
        d = [(-1, -1), (-1, 0), (-1, 1), (0, -1), (0, 1), (1, -1), (1, 0), (1, 1)]
        m, n = len(mat), len(mat[0])
        counter = defaultdict(int)

        def cal(i, j, val):
            for dx, dy in d:
                n_i, n_j, n_val = i, j, val
                while n_i >= 0 and n_i < m and n_j >= 0 and n_j < n:
                    n_val = n_val * 10 + mat[n_i][n_j]
                    counter[n_val] += 1
                    n_i, n_j = n_i + dx, n_j + dy
            
        def check(i):
            if i < 10: return False
            for j in range(2, int(sqrt(i)) + 1):
                if i % j == 0:
                    return False
            return True
        
        for i in range(m):
            for j in range(n):
                cal(i, j, 0)
        
        cnt = [(counter[x], x) for x in counter.keys()]
        cnt.sort(reverse=True)

        for _, val in cnt:
            if check(val):
                return val
        
        return -1",https://leetcode.com/problems/most-frequent-prime/solutions/4744456/simple-solution/,"#include <iostream>
#include <unordered_map>
#include <queue>
#include <cmath>

using namespace std;

class Solution {
public:
    bool prime(int n) {
        for (int i = 2; i <= sqrt(n); i++) {
            if (n % i == 0) {
                return false;
            }
        }
        return true;
    }

    int mostFrequentPrime(vector<vector<int>>& mat) {
        unordered_map<int, int> map;
        int n = mat.size();
        int m = mat[0].size();

        for (int i = 0; i < n; i++) {
            for (int j = 0; j < m; j++) {
                int num = 0;

                for (int row = i; row < n; row++) {
                    num = num * 10 + mat[row][j];
                    if (num >= 10 && prime(num)) {
                        map[num]++;
                    }
                }

                num = 0;
                for (int row = i; row >= 0; row--) {
                    num = num * 10 + mat[row][j];
                    if (num >= 10 && prime(num)) {
                        map[num]++;
                    }
                }

                num = 0;
                for (int col = j; col < m; col++) {
                    num = num * 10 + mat[i][col];
                    if (num >= 10 && prime(num)) {
                        map[num]++;
                    }
                }

                num = 0;
                for (int col = j; col >= 0; col--) {
                    num = num * 10 + mat[i][col];
                    if (num >= 10 && prime(num)) {
                        map[num]++;
                    }
                }

                num = 0;
                for (int row = i, col = j; row < n && col < m; row++, col++) {
                    num = num * 10 + mat[row][col];
                    if (num >= 10 && prime(num)) {
                        map[num]++;
                    }
                }

                num = 0;
                for (int row = i, col = j; row >= 0 && col >= 0; row--, col--) {
                    num = num * 10 + mat[row][col];
                    if (num >= 10 && prime(num)) {
                        map[num]++;
                    }
                }

                num = 0;
                for (int row = i, col = j; row < n && col >= 0; row++, col--) {
                    num = num * 10 + mat[row][col];
                    if (num >= 10 && prime(num)) {
                        map[num]++;
                    }
                }

                num = 0;
                for (int row = i, col = j; row >= 0 && col < m; row--, col++) {
                    num = num * 10 + mat[row][col];
                    if (num >= 10 && prime(num)) {
                        map[num]++;
                    }
                }
            }
        }

        priority_queue<pair> pq;

        for (auto it = map.begin(); it != map.end(); ++it) {
            pq.push(pair(it->second, it->first));
        }

        if (pq.empty()) {
            return -1;
        }
        return pq.top().num;
    }

private:
    struct pair {
        int feq;
        int num;

        pair(int feq, int num) : feq(feq), num(num) {}

        bool operator<(const pair& other) const {
            if (feq != other.feq) {
                return feq < other.feq;
            } else {
                return num < other.num;
            }
        }
    };
};",https://leetcode.com/problems/most-frequent-prime/solutions/4744458/simple-cpp-solution-very-easy-cpp/,
